,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,2011,2012,2013,2014,2015,2016,2017,2018,2019,popfin,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
81,"San Diego, CA",6073,2813833,2869672,2900355,2914702,2930007,2938375,2947289,2975742,3022116,3061203,3022468,3060849,3100500,3138265,3183143.0,3223096.0,3253356.0,3283665.0,3302833.0,3316073.0,3323970.0,3296317.0,06073,34.79301,3595.5364416873736,0.09975357886336596,-0.23054132521821952,1.6631374021364465,0.4812532129236956
82,"San Francisco, CA",6075,776733,780865,772723,766160,761325,763016,768650,778673,791152,801922,789172,797983,807755,817501,829072.0,840763.0,850282.0,864263.0,870044.0,874961.0,874784.0,865933.0,06075,27.326140000000002,165.0198496714661,0.1084833217600219,-0.2318770225624948,-0.7040055817715615,0.5683121238851087
83,"San Joaquin, CA",6077,563598,591207,609041,626778,642898,656985,662812,668080,671692,677736,673613,680277,687036,693177,701050.0,708554.0,714860.0,724153.0,732212.0,742603.0,751615.0,771406.0,06077,931.82312,405.7865088662587,0.11579645879755883,-0.0700777393165068,-0.5378705135435397,0.6412436814047955
84,"San Luis Obispo, CA",6079,246681,251462,253083,254674,256842,258615,260498,262770,266358,268145,265577,267871,270121,272094,274184.0,276517.0,278680.0,280119.0,281455.0,282165.0,282517.0,282771.0,06079,0.00039,199.2913701594969,0.06378564408815522,-0.23676513923056708,-0.6803573681293622,0.12255659744141298
85,"San Mateo, CA",6081,707161,705621,697628,693057,690161,690078,690176,693849,703830,713617,704327,711622,721183,729543,739837.0,748731.0,754748.0,763450.0,765935.0,767423.0,765623.0,762488.0,06081,4.12923,606.779068137264,0.08702775841335061,-0.2360265592602532,-0.3991805775719755,0.3543427090767597
86,"Santa Barbara, CA",6083,399347,403164,405178,406810,407284,408079,408085,411243,415859,420356,416051,419793,423594,427288,431555.0,435850.0,439395.0,442996.0,443738.0,444829.0,444895.0,447651.0,06083,1442.37545,623.6158598376849,0.06932803911058981,0.02125147778443819,-0.387562766587493,0.17782911582863217
87,"Santa Clara, CA",6085,1682585,1688082,1669348,1663592,1663167,1675312,1691159,1712026,1740964,1765137,1739396,1762754,1788393,1812208,1841569.0,1868149.0,1885056.0,1911226.0,1922200.0,1927470.0,1924379.0,1932022.0,06085,7.81481,749.3781258884442,0.10634898550991263,-0.2353672710420153,-0.30078363063599234,0.5470270766895999
88,"Santa Cruz, CA",6087,255602,256045,254531,253021,252356,251377,251616,253304,256520,260009,256901,259402,262340,264808,267203.0,269278.0,270931.0,273263.0,273765.0,273962.0,273170.0,272138.0,06087,266.36895,674.063535842925,0.06332789673843231,-0.18911628794610402,-0.35275259759189737,0.11799163072542695
89,"Shasta, CA",6089,163256,166408,170198,173202,174867,175615,176166,176548,177247,177279,176906,177231,177693,177966,178520.0,178942.0,179228.0,178919.0,179085.0,179212.0,179267.0,181935.0,06089,37281.19676,1632.4321848247887,0.01334607079465931,6.43221329253703,0.3085459452324352,-0.38046100253535714
90,"Solano, CA",6095,394542,404209,408226,408409,409301,408181,408402,408243,408972,410290,410042,411620,414209,417258,421624.0,425753.0,429596.0,434981.0,438530.0,441829.0,444538.0,451432.0,06095,5.62344,772.6796160147624,0.08412796737895142,-0.23575927024507154,-0.2847050146644244,0.3254240281420475
91,"Sonoma, CA",6097,458614,465293,465298,466489,466809,465938,465188,467356,473091,479479,474047,478551,483456,487469,491790.0,495078.0,497776.0,500943.0,501317.0,499772.0,496801.0,492498.0,06097,52.24337,1425.1683703684575,0.04799945996915918,-0.22741974957693387,0.16552868498942153,-0.034873926447510084
92,"Stanislaus, CA",6099,446997,463761,477469,487357,492613,500020,504651,507834,509032,511536,509682,512469,515115,518321,522794.0,527367.0,530561.0,535684.0,539301.0,543194.0,546235.0,550842.0,06099,1252.08836,457.21718708504494,0.07171726684481697,-0.01278767928711423,-0.5023820482241841,0.20165611360428257
93,"Sutter, CA",6101,78930,80138,82162,84671,86484,88764,91112,92959,93855,94366,93420,94192,94615,94787,95067.0,95247.0,95406.0,95583.0,95872.0,96109.0,96315.0,99080.0,06101,7.9837299999999995,795.5783447662407,0.030989081567116248,-0.23533705409764707,-0.2689043142012263,-0.204512945174016
94,"Tehama, CA",6103,56039,56685,57380,58528,59571,60602,61587,62147,62648,62891,62575,62985,63200,63241,63284.0,63152.0,63015.0,63247.0,63373.0,63912.0,64176.0,65345.0,06103,105125.92003,1629.142290284902,0.025585297642828606,18.568492174428265,0.3062758350117137,-0.2584031397752207
95,"Tulare, CA",6107,368021,373171,379568,388743,398226,407970,414921,422140,429283,436987,429404,436234,441877,446644,451108.0,454033.0,455769.0,458809.0,460477.0,461898.0,463955.0,470999.0,06107,263.63905,2343.397256530852,0.08046268781846466,-0.1896046211004427,0.7991297789353614,0.2888713769720642
96,"Tuolumne, CA",6109,54501,55253,55850,56513,56602,56788,56680,56339,56320,55845,56074,55736,55205,54728,54347.0,54079.0,53864.0,53899.0,53932.0,54045.0,54147.0,55243.0,06109,13440.19843,3767.265909380745,-0.03436530299247423,2.167460035248326,1.781635066752533,-0.8562711485560256
97,"Ventura, CA",6111,753197,766689,779489,788070,793994,794197,798183,800027,806353,815130,809080,815745,822794,829017,835790.0,840833.0,843110.0,847834.0,848112.0,847263.0,845599.0,845255.0,06111,199.10541,1036.1068765651426,0.04513645127799476,-0.20114860292474313,-0.10293355988317678,-0.0634257889337826
98,"Yolo, CA",6113,168660,175337,180327,182954,185237,186269,189615,194339,197154,199791,196418,198889,200873,202288,204162.0,207320.0,209671.0,212605.0,214977.0,217352.0,218774.0,216703.0,06113,6.73777,680.3113077696928,0.11381848914050648,-0.23555993536691697,-0.34844147736122244,0.6215180278206949
99,"Yuba, CA",6115,60219,61249,62100,62733,63742,66285,69272,70761,71773,71607,71160,71817,72244,72574,73059.0,73437.0,73897.0,74644.0,75493.0,76360.0,77524.0,80404.0,06115,50.55354,3111.3540632526933,0.08943226531759416,-0.22772203171701086,1.3290393474262563,0.37832208108814275
100,"Adams, CO",8001,363857,359816,370753,377464,384809,395146,406575,415746,424913,435700,425330,434295,442996,452030,461558.0,471206.0,479977.0,487850.0,497115.0,504108.0,509844.0,514969.0,08001,619.8788000000001,289.97338319289076,0.19870218418639646,-0.12587932683386602,-0.6177844916657297,1.4680357473639223
101,"Arapahoe, CO",8005,487967,502393,508936,513690,518971,524466,531619,542039,552461,563161,552860,563508,574357,585333,596684.0,608310.0,617668.0,626612.0,636671.0,644560.0,649980.0,651621.0,08005,1448.1395400000001,523.7964833129105,0.17566834279926202,0.022282576451639252,-0.4564406543518661,1.2383266745812622
102,"Bent, CO",8011,5998,5841,5973,6166,6180,6118,6012,5715,5962,6425,6125,6164,6192,6141,6000.0,5895.0,5816.0,5806.0,5809.0,5787.0,5677.0,5861.0,08011,9.79714,196.2166459859639,-0.07314285714285715,-0.23501266557593958,-0.6824790053695873,-1.242987192091828
103,"Boulder, CO",8013,291288,277597,279468,278768,279728,280241,284243,287428,290859,293190,290177,293205,297218,301072,305166.0,310032.0,313961.0,316782.0,321030.0,322510.0,324682.0,328713.0,08013,1701.66432,1133.3239496602496,0.11891018240591088,0.06763389170876347,-0.03585132712886061,0.672295842915968
104,"Chaffee, CO",8015,16242,16488,16844,16921,17047,17105,17087,17377,17573,17852,17540,17707,17879,18063,18121.0,18309.0,18507.0,18818.0,19164.0,19557.0,19977.0,19436.0,08015,0.25413,35.38637784244097,0.13893956670467503,-0.236719749416075,-0.793455947361949,0.8720424339577266
105,"Denver, CO",8031,554636,561976,556790,552588,550756,551691,556895,564395,575721,589011,578087,590507,604356,619297,633777.0,649654.0,663303.0,678467.0,693417.0,705576.0,715878.0,706799.0,08031,3.17327,97.70108212315917,0.2383568563209344,-0.23619756441143883,-0.7504572295082851,1.863499005724855
106,"Douglas, CO",8035,175766,196783,208911,220352,232508,243112,256136,267177,275500,281386,273440,280643,286883,293014,299794.0,306974.0,314238.0,320940.0,328614.0,336041.0,344280.0,351929.0,08035,18.568540000000002,477.64074363255924,0.2590696313633704,-0.2334436097753731,-0.48828927901839897,2.0700608322906717
107,"Eagle, CO",8037,41659,43238,44227,44995,45893,47205,48476,49803,51049,52513,50793,51457,51850,52151,52233.0,52576.0,52894.0,53726.0,54357.0,54681.0,54960.0,55693.0,08037,94.51018,2325.23465057846,0.08203886362294018,-0.21985892879553737,0.7865971226731086,0.3045900700247464
108,"El Paso, CO",8041,516929,535864,544145,547549,556667,565800,580251,586783,597919,608061,599988,611377,622816,634423,645707.0,655024.0,665171.0,674826.0,688153.0,698974.0,710499.0,722736.0,08041,2498.59057,1271.118261910129,0.18418868377367548,0.21019058222409603,0.059230224210628915,1.3232972876947924
109,"Fremont, CO",8043,46145,46633,47019,46901,46605,46641,46873,46959,47166,46871,46941,47040,47006,46850,46879.0,46809.0,46835.0,46601.0,47002.0,47321.0,47725.0,49007.0,08043,27.48182,292.46282976005534,0.016701817174751284,-0.2318491740312418,-0.616066710737635,-0.3469952259630113
110,"Garfield, CO",8045,43791,45636,46925,47622,48193,49579,51594,53534,55449,57089,54761,55696,56330,56687,56684.0,57076.0,57495.0,57945.0,58538.0,59055.0,59605.0,61221.0,08045,376.49559999999997,3060.8017961362857,0.08845711363926882,-0.16941648415429725,1.294157007925625,0.3685972078424807
111,"Huerfano, CO",8055,7862,7635,7571,7428,7193,7145,7127,7051,7073,6824,6948,6829,6730,6625,6550.0,6502.0,6521.0,6498.0,6583.0,6679.0,6769.0,6787.0,08055,1906.87363,747.9819629576384,-0.025762809441565917,0.10434238273479624,-0.30174701827671707,-0.7704812542875995
112,"Jefferson, CO",8059,527056,528845,527851,524940,520900,519675,521662,524911,529003,531961,528614,532243,536095,540669,546162.0,552344.0,558810.0,564029.0,570427.0,574798.0,578795.0,580130.0,08059,4253.11726,940.1350521967988,0.09492938136333884,0.5240458710255641,-0.16915653960439625,0.43314304684125393
113,"Lake, CO",8065,7812,7758,7676,7491,7434,7331,7278,7392,7450,7426,7039,7010,7372,7332,7311.0,7362.0,7401.0,7481.0,7585.0,7751.0,7845.0,7417.0,08065,0.0,6.9272783419149295,0.11450490126438415,-0.23676520899500172,-0.813093443903373,0.628363394595287
114,"Larimer, CO",8069,251494,260541,265372,268448,271510,275116,280713,286112,291650,296696,291162,296107,300870,305798,311435.0,318227.0,325228.0,330976.0,338161.0,344786.0,350523.0,354670.0,08069,955.24255,1178.9389849824775,0.20387619263502793,-0.0658883975366928,-0.004375802108800612,1.5196344652385982
115,"Las Animas, CO",8071,15207,15116,15424,15706,15573,15582,15673,15734,15770,15775,15675,15549,15385,15136,14789.0,14503.0,14322.0,14151.0,14179.0,14266.0,14323.0,14531.0,08071,940.52719,1382.4889915777057,-0.08625199362041468,-0.06852072771949418,0.13607883702856027,-1.3737203830793738
116,"Logan, CO",8075,20504,21459,21548,21825,21795,21694,21911,22163,22128,22451,22278,22417,22541,22607,22604.0,21928.0,21862.0,21885.0,21689.0,22380.0,22282.0,21765.0,08075,375.63921,415.799653201461,0.00017954933117874137,-0.16956967790866337,-0.5309611913688278,-0.5117664754834531
117,"Mesa, CO",8077,116255,119496,122440,124994,127678,130194,134665,139434,143155,147851,142284,144766,146562,147432,147509.0,147834.0,148166.0,148798.0,149998.0,151218.0,152962.0,154685.0,08077,105.47147,1678.2452311575048,0.07504708892075004,-0.21789813853900009,0.3401581028445965,0.23486335545066642
118,"Moffat, CO",8081,13184,13065,13193,13106,13175,12956,13115,13348,13585,13728,13519,13586,13547,13447,13286.0,13117.0,13034.0,13056.0,13060.0,13127.0,13150.0,13240.0,08081,29.571990000000003,616.3502689038364,-0.027294918263185145,-0.23147527780456534,-0.3925762076077267,-0.7857604815298633
119,"Morgan, CO",8087,27171,27307,27556,27736,27736,27727,27816,27745,27701,28099,27911,27943,28200,28308,28342.0,28359.0,28288.0,28123.0,28257.0,28517.0,28617.0,28868.0,08087,1299.38863,658.4653409212382,0.025294686682669914,-0.004326457245950865,-0.36351574555522,-0.26130130917200306
120,"Otero, CO",8089,20311,20012,19688,19585,19436,19247,19042,18783,18726,18743,18830,18795,18791,18817,18712.0,18572.0,18440.0,18325.0,18325.0,18282.0,18284.0,18665.0,08089,5.28085,32.378228109172625,-0.02899628252788104,-0.23582055382884562,-0.7955316465590389,-0.8027276387287114
121,"Prowers, CO",8099,14483,14182,14057,13853,13613,13480,13130,12736,12663,12593,12734,12615,12539,12473,12359.0,12235.0,12121.0,12084.0,12052.0,12022.0,12035.0,11966.0,08099,146.29632,220.93260771021417,-0.05489241400973771,-0.21059526012737181,-0.6654243683151378,-1.060981407667041
122,"Pueblo, CO",8101,141472,144014,146537,147907,148654,149825,152026,155121,156748,157846,156244,157946,159072,160048,160757.0,161519.0,162158.0,163368.0,164685.0,165982.0,167412.0,167453.0,08101,26.80399,332.2883020263518,0.07147794475307852,-0.23197042640752133,-0.588586130268969,0.1992694315539168
123,"Routt, CO",8107,19690,20210,20469,20893,21162,21398,21859,22491,23135,23688,22924,23201,23385,23409,23428.0,23606.0,23980.0,24359.0,24874.0,25072.0,25317.0,24899.0,08107,4.62097,185.73541346607269,0.10438841388937359,-0.2359385952522989,-0.6897113201993457,0.5274749281135673
124,"Summit, CO",8117,23548,24716,25006,25408,25313,25487,26019,26603,27144,27678,27105,27496,27753,28091,28482.0,28940.0,29269.0,29722.0,30429.0,30649.0,30735.0,31042.0,08117,2814.9351899999997,431.9876481321818,0.13392363032650803,0.2667793093359593,-0.5197910665214571,0.8220201178707052
125,"Weld, CO",8123,180936,192278,202234,208858,215322,222879,230703,237692,243442,248193,242860,248441,253552,258780,265066.0,270948.0,278065.0,285729.0,295123.0,305345.0,315389.0,322424.0,08123,990.7825500000001,1739.6361666731623,0.2986453100551758,-0.05953088982388383,0.3825193969481301,2.4647363145190426
126,"Fairfield, CT",9001,882567,889063,892900,896342,897472,897653,896254,897498,903824,910421,905342,911196,918892,926233,934215.0,939983.0,941618.0,947328.0,944348.0,943926.0,944306.0,956446.0,09001,41.001599999999996,697.662518738196,0.04303787960792717,-0.2294307129838169,-0.3364687041054417,-0.08435416750499393
127,"Hartford, CT",9003,857183,862573,867451,873335,874449,878081,881298,884548,887891,891667,887976,890588,893504,895827,897374.0,896943.0,895699.0,897417.0,894730.0,893561.0,892153.0,898636.0,09003,104.6959,1265.7409861467406,0.004703955962773769,-0.21803687495590562,0.05551976829111294,-0.46664602706289954
128,"Litchfield, CT",9005,182193,184118,185974,187424,188601,188912,189682,189866,190175,190015,189916,189719,189277,188629,187542.0,186304.0,185141.0,184454.0,183031.0,182002.0,181143.0,185175.0,09005,9.795250000000001,231.2016441232636,-0.04619410686829967,-0.23501300366512295,-0.6583384741517865,-0.9742359953558078
129,"Middlesex, CT",9007,155071,157006,159187,160864,161450,162191,163473,164129,164962,165607,164774,165274,165639,165690,165534.0,165165.0,164438.0,164110.0,163368.0,163053.0,162742.0,164568.0,09007,27.94873,421.79021748601457,-0.012332042676635877,-0.23176565169229446,-0.5268275508993912,-0.6365405481552968
130,"New Haven, CT",9009,824008,829875,835099,841939,844505,847162,850207,853598,856622,860025,856688,858759,860995,862611,863148.0,862224.0,860874.0,862127.0,859339.0,857513.0,855733.0,864751.0,09009,35.46548,1096.5384477512143,-0.001114758231701623,-0.23042103165570874,-0.061234251367200405,-0.5246741874524561
131,"New London, CT",9011,259088,261396,264698,266584,268595,269664,270814,270669,272634,273630,272360,272891,273723,274090,274071.0,273185.0,272033.0,270772.0,268881.0,267390.0,266868.0,269131.0,09011,52.563829999999996,538.9420882925556,-0.02016448817741225,-0.22736242467761908,-0.44598980486521744,-0.7146510015253974
132,"Tolland, CT",9013,136364,138934,142362,145195,146706,147657,148954,149718,151583,152330,151073,151774,152137,152366,152251.0,151948.0,151689.0,151596.0,151269.0,151063.0,150947.0,150120.0,09013,353.55411999999995,944.551408136213,-0.0008340338776617926,-0.1735203287250134,-0.16610914260280313,-0.5218746139905143
133,"Windham, CT",9015,109091,109870,111078,112653,114316,115636,116778,117244,117888,118112,117708,117971,118046,118115,117918.0,117470.0,117078.0,116674.0,116538.0,116566.0,116657.0,116503.0,09015,418.15299,897.9899756742619,-0.008928874842831414,-0.16196467835180733,-0.19823770552231545,-0.6026018527163486
134,"Kent, DE",10001,126697,129228,131824,134605,139342,144585,149704,153969,157925,160081,156918,159936,162785,165030,167477.0,169509.0,171474.0,173145.0,174822.0,176699.0,179124.0,180078.0,10001,24.29071,361.4169010583669,0.14151340190417924,-0.2324200098904827,-0.5684866621625678,0.8977104624570337
135,"New Castle, DE",10003,500265,506026,510158,514769,518944,523343,527174,530555,533958,536898,533514,536478,539665,542784,545846.0,549643.0,551997.0,555036.0,555133.0,556165.0,558306.0,567769.0,10003,17.83219,340.79940341048126,0.046469258538670025,-0.23357533039451564,-0.5827132556198094,-0.05013413189308089
136,District of Columbia,11001,572059,574504,573158,568502,567754,567136,570681,574404,580236,592228,584400,593955,605759,619371,633736.0,647484.0,659009.0,672391.0,684498.0,692683.0,701974.0,683154.0,11001,6.4497599999999995,769.6828683496788,0.20118754277891854,-0.23561145550750126,-0.2867728461468475,1.4928214271914972
137,"Alachua, FL",12001,217955,221718,224614,227022,229867,233756,239506,242685,244888,246657,244247,246203,247973,249848,251759.0,254218.0,256581.0,259865.0,263148.0,265443.0,268105.0,276171.0,12001,1.55656,224.636595139358,0.0976798077356119,-0.23648676661443194,-0.662868523555259,0.4605721621639248
138,"Bay, FL",12005,148217,150207,152741,155044,158804,162917,165644,165345,166267,167464,166798,167645,168957,170704,172988.0,175353.0,178361.0,180117.0,182482.0,182161.0,180076.0,181384.0,12005,7666.64635,2665.0225610739244,0.07960527104641542,1.1346687612217585,1.021059352128016,0.28032063598251555
139,"Brevard, FL",12009,476230,486429,495425,504847,518722,529907,535138,539719,542378,542109,540583,542320,544019,545667,548891.0,553591.0,560683.0,568183.0,576808.0,585507.0,594001.0,601573.0,12009,302.48014,3009.9258303972842,0.09881553803948699,-0.1826566039578173,1.259051308210046,0.4718984342628564
140,"Broward, FL",12011,1623018,1662848,1690118,1707543,1725461,1746896,1739348,1720825,1723633,1733310,1734139,1742012,1761993,1784889,1815269.0,1843152.0,1863780.0,1890416.0,1909151.0,1926205.0,1942273.0,1934551.0,12011,9.788359999999999,1944.7254548032254,0.12002152076621309,-0.23501423617013537,0.5240361791731891,0.6833788620269448
141,"Charlotte, FL",12015,141627,146311,150123,153235,157755,155262,157099,159742,160467,159629,159385,160095,160380,161276,163151.0,165783.0,169642.0,173236.0,176954.0,181067.0,185926.0,184837.0,12015,383.05051000000003,1554.6903041005614,0.16652131630956488,-0.16824392110191208,0.25490208647936424,1.14710632890152
142,"Citrus, FL",12017,118085,121197,123491,126215,129840,133791,137826,140974,142122,141381,140686,141157,140805,140214,139771.0,139654.0,140453.0,141373.0,143087.0,145169.0,147938.0,151888.0,12017,1593.5142799999999,1759.7065330284915,0.05154741765349786,0.04828767017132399,0.39636845601201953,0.0005087114826429435
143,"Clay, FL",12019,140814,145685,150947,155620,163238,169418,178339,184256,187289,189101,186076,188890,190891,192665,194868.0,197417.0,200346.0,203291.0,207291.0,211405.0,215294.0,216308.0,12019,6.12343,178.13008571681402,0.15702186203486748,-0.2356698304509993,-0.6949591881921365,1.0523713345639782
144,"Collier, FL",12021,251377,264240,275490,285321,296021,307452,312621,314437,316641,318485,316931,320087,323548,328209,334474.0,341091.0,348236.0,356774.0,363922.0,371453.0,379345.0,372797.0,12021,2936.66885,2011.6297721233968,0.19693245532939346,0.2885554118221288,0.5702018457979154,1.4503868121304817
145,"Duval, FL",12031,778879,790681,800532,809633,820070,828988,842098,851033,855437,859795,854848,860479,866431,872598,880750.0,890673.0,900890.0,912043.0,924229.0,936186.0,948651.0,983153.0,12031,14.420589999999999,775.6640881764589,0.10973061877667141,-0.23418560820298553,-0.2826456535889902,0.5807510148353247
146,"Escambia, FL",12033,294410,297776,297568,296603,298225,298339,300395,297393,296854,297015,297940,297668,298864,300795,304099.0,306327.0,309574.0,309924.0,311522.0,313491.0,316691.0,318828.0,12033,723.86745,2181.9952234282864,0.06293549036718803,-0.10727750791378748,0.6877583046983833,0.11407828851830036
147,"Flagler, FL",12035,49832,53944,57905,62947,69387,77008,84339,90516,93546,94700,91806,94431,95987,97301,98843.0,100783.0,102917.0,105015.0,107139.0,109801.0,112854.0,113888.0,12035,786.06508,1110.1678295071647,0.22926606104176198,-0.09615139895364573,-0.05182963415191306,1.7728394357756556
148,"Hardee, FL",12049,26938,26378,26787,26765,26847,26874,27049,27489,27603,27661,27521,27690,27347,27336,27549.0,27468.0,27302.0,27326.0,27228.0,27131.0,27027.0,25632.0,12049,2820.9433200000003,1609.6708258326498,-0.017949929145016533,0.26785406265094414,0.292840033368359,-0.692565918390362
