GEOID,MEDRENT,MVALOO,PCTKID,PCTOLD,AVGPERHH,PCTFRMPOP,FEMLBR,PCTFHH,PCTPOV,PCTRENT,PCTMOBL,HOUDEN,PCTNOHS,PCTCVLBF,PCTVOTE,LGINREV,GENEXPPC,EXPED,INFMTR,CHILLD,DISNWR,LBWB,HUWNF,HUWNP,MD
19069,374,55200,0.05615,0.20516,2.41,0.14415,0.44082,0.0928,0.07792,0.22885,0.00924,8.17767,84,1,0.48104,3496,3527,14331,34.2,104.63378,242.89985,6.53961,12.14499,6.53961,2.80269
13035,480,86700,0.06301,0.10214,2.73,0.00973,0.46896,0.18471,0.10332,0.20434,0.17046,39.54772,74.8,0.99787,0.46568,2104,2160,28475,96.6,66.0793,617.76457,12.80607,12.29382,24.58765,0
8039,655,221600,0.06567,0.05998,2.93,0.08127,0.45405,0.06773,0.03981,0.09911,0.06453,3.84324,95.4,0.99901,0.66455,2197,1987,29652,44.4,27.67713,256.13929,8.05153,6.54187,13.58696,0.50322
44001,578,164600,0.05388,0.16731,2.52,0,0.47702,0.14133,0.05941,0.27499,0.00096,805.55105,85.8,0.99824,0.51147,2342,2335,83203,48.8,78.58158,333.47812,5.92324,2.76418,8.29253,2.17185
48035,432,57900,0.05743,0.20548,2.48,0.05423,0.45263,0.11352,0.12305,0.17365,0.17561,8.73855,79.8,0.9992,0.44443,2191,2087,24494,97,130.78354,486.51476,7.55638,5.23134,15.69403,1.16252
44005,689,164100,0.05803,0.14375,2.35,0.00283,0.46409,0.16292,0.06913,0.34226,0.02361,380.21144,91.2,0.94019,0.49158,2865,2818,143256,45.2,69.41112,353.96158,6.20369,11.00277,6.32074,1.75576
39045,550,129500,0.06998,0.11137,2.65,0.01685,0.4629,0.12056,0.05754,0.22495,0.03232,94.87438,90.9,0.99831,0.58608,2497,2727,194288,68,60.52509,368.28257,9.85671,2.28089,4.3174,2.28089
38069,374,62300,0.05262,0.24107,2.31,0.18118,0.46596,0.0971,0.12214,0.23447,0.08859,2.22927,83.1,1,0.45754,2113,1954,5027,0,104.81283,344.38503,8.55615,0,14.97326,0
17015,385,68700,0.05548,0.19258,2.42,0.06513,0.46111,0.10724,0.0947,0.1995,0.05387,17.88569,86.7,1,0.46024,2299,2409,22165,94.6,97.75699,467.79417,7.79657,9.59578,8.99604,0
27125,282,43200,0.05583,0.19051,2.39,0.12468,0.46821,0.10424,0.10421,0.18269,0.12958,4.35446,85.3,1,0.50965,3844,3959,6931,174.6,90.71877,360.54897,6.97837,6.97837,9.30449,0
41031,501,105500,0.07717,0.12431,2.8,0.05566,0.44763,0.13686,0.14451,0.232,0.28477,4.67155,80.2,0.99955,0.43758,3799,3494,32015,109.8,58.91946,455.57368,8.94313,1.05213,31.564,0
47021,588,109100,0.07126,0.0859,2.76,0.02047,0.45022,0.12222,0.07337,0.15583,0.17057,44.63094,81.4,0.9971,0.45745,1748,1673,37515,32.8,52.62865,493.9853,10.0245,8.35375,11.69526,0
46127,505,89600,0.06898,0.13525,2.53,0.09186,0.45975,0.08835,0.05412,0.23611,0.08195,11.60997,91,0.99739,0.61197,2651,2544,17820,65.6,68.34075,214.55817,10.33058,8.74126,5.56262,1.58932
1051,486,98000,0.06634,0.10734,2.66,0.01032,0.46507,0.15586,0.09392,0.16492,0.20165,41.42066,83.1,0.97931,0.52092,1657,1682,66564,76,64.3653,522.96809,11.68898,3.0361,10.32274,0.60722
13187,534,111800,0.0639,0.09707,2.61,0.02213,0.46502,0.13164,0.12381,0.25233,0.23599,29.047,79.8,0.97931,0.52698,2291,2956,37483,36.6,54.72021,588.12334,6.66159,0,22.83974,0
